antibody,antibody_link,canonical_source_accessions,data_citation,dataset_id,eligibility_reason,influenza_challenge_eligibility,meta_variable_list,metadata_link,num_cells,num_observations,num_observed_genes,num_subjects,"number_of_timepoints median(min, max)",observed_timepoints,participant_count_interpretation,pathogen,platform,platform_detail,raw_data,raw_data_flag_interpretation,resource_revision,source_paper_citation,source_snapshot,source_snapshot_sha256,study_ID,study_type,tissue,transcriptomic_data_link,vaccine
yes,https://www.immport.org/shared/study/SDY180,"[""GSE48762""]",GEO. https://identifiers.org/geo/GSE48762 (2013),HR:GSE48762,Vaccination does not by itself establish an influenza challenge design.,vaccine_or_other_nonchallenge_context,geo_accession;ID;study_ID;tissue;pathogen;title;timepoint;MFC;responder;vaccine;sex;age;immport_expsamp_acc;ethnicity;race,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE48762,NA,621,18771,34,"12 (3, 22)","-168.0, -7.0, 0.0, 0.5, 1.0, 1.5, 3.0, 6.0, 7.0, 9.0, 10.0, 12.0, 14.0, 15.0, 21.0, 24.0, 28.0, 36.0, 48.0",Within-study author count; not independent subjects across studies.,influenza/pneumococcal,microarray,GPL6947; Illumina HumanHT-12 V3.0 expression beadchip,yes,Legacy author flag; not proof of current file-level raw availability.,c68349578b97af04d1102eac5ad9f30f85362c53,"Obermoser G, Presnell S, Domico K, Xu H, et al. Systems scale interactive exploration reveals quantitative and qualitative differences in response to influenza and pneumococcal vaccines. Immunity. 2013 Apr 18;38(4):831-44. PMID: 23601689.",data_dictionary/sources/hr_vilage/study_meta.csv,48977830c893ed1babf334c16a24b52e9f701cc239b1b3b3be747fdf1371e1f1,GSE48762,vaccine,whole blood,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE48762,Influenza TIV/Saline/Pneumovax
yes,https://pmc.ncbi.nlm.nih.gov/articles/PMC3728595/ (Supplementary Information),"[""GSE45735""]","Welle, S.L., Henn, A.D., Zand, M.S. GEO. https://identifiers.org/geo/GSE45735 (2013)",HR:GSE45735,Vaccination does not by itself establish an influenza challenge design.,vaccine_or_other_nonchallenge_context,geo_accession;ID;study_ID;tissue;platform;pathogen;title;timepoint;MFC;responder;vaccine;sex;age;ethnicity;race,https://pmc.ncbi.nlm.nih.gov/articles/PMC3728595/ (Supplementary Information),NA,54,24655,5,"11 (10, 11)","0.0, 1.0, 2.0, 3.0, 4.0, 5.0, 6.0, 7.0, 8.0, 9.0, 10.0",Within-study author count; not independent subjects across studies.,influenza,RNA-seq,GPL10999; Illumina Genome Analyzer IIx (Homo sapiens),yes,Legacy author flag; not proof of current file-level raw availability.,c68349578b97af04d1102eac5ad9f30f85362c53,"Henn AD, Wu S, Qiu X, Ruda M, et al. High-resolution temporal response patterns to influenza vaccine reveal a distinct human plasma cell gene signature. Sci Rep. 2013;3:2327. PMID: 23900141.",data_dictionary/sources/hr_vilage/study_meta.csv,48977830c893ed1babf334c16a24b52e9f701cc239b1b3b3be747fdf1371e1f1,GSE45735,vaccine,PBMC,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE45735,Influenza TIV
yes,https://pmc.ncbi.nlm.nih.gov/articles/PMC9906673/ (Supplementary data),"[""GSE201642""]","Lee, H. GEO. https://identifiers.org/geo/GSE201642 (2022)",HR:GSE201642,Pathogen is not influenza in HR metadata.,outside_influenza_challenge_scope,geo_accession;ID;study_ID;tissue;platform;pathogen;title;timepoint;study_group;vaccine;sex;age;UnderlyingDisease,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE201642,NA,48,24580,15,"3 (2, 4)","0.0, 1.0, 2.0, 7.0, 8.0, 26.0, 28.0, 30.0, 31.0, 33.0, 34.0, 35.0",Within-study author count; not independent subjects across studies.,SARS-CoV-2,RNA-seq,GPL24676; Illumina NovaSeq 6000 (Homo sapiens),yes,Legacy author flag; not proof of current file-level raw availability.,c68349578b97af04d1102eac5ad9f30f85362c53,"Lee HK, Hoechstetter MA, Buchner M, Pham TT, et al. Analysis of immune responses in patients with CLL after heterologous COVID-19 vaccination. Blood Adv. 2023 May 23;7(10):2214-2227. PMID: 36630562.",data_dictionary/sources/hr_vilage/study_meta.csv,48977830c893ed1babf334c16a24b52e9f701cc239b1b3b3be747fdf1371e1f1,GSE201642,vaccine,PBMC,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE201642,ChAdOx1/BNT162b2
yes,https://pmc.ncbi.nlm.nih.gov/articles/PMC10972586/ (Supporting Data Values),"[""GSE250023""]",GEO. https://identifiers.org/geo/GSE250023 (2024),HR:GSE250023,Pathogen is not influenza in HR metadata.,outside_influenza_challenge_scope,geo_accession;ID;study_ID;tissue;platform;pathogen;title;timepoint;responder_original;vaccine;sex;UnderlyingDisease,https://pmc.ncbi.nlm.nih.gov/articles/PMC10972586/ (Table S1),NA,75,37624,18,"4 (3, 5)","0.0, 1.5, 7.0, 23.0, 28.0",Within-study author count; not independent subjects across studies.,SARS-CoV-2,RNA-seq,GPL28038; DNBSEQ-G400 (Homo sapiens),yes,Legacy author flag; not proof of current file-level raw availability.,c68349578b97af04d1102eac5ad9f30f85362c53,"Sarin KY, Zheng H, Chaichian Y, Arunachalam PS, et al. Impaired innate and adaptive immune responses to BNT162b2 SARS-CoV-2 vaccination in systemic lupus erythematosus. JCI Insight. 2024 Mar 8;9(5):e176556. PMID: 38456511.",data_dictionary/sources/hr_vilage/study_meta.csv,48977830c893ed1babf334c16a24b52e9f701cc239b1b3b3be747fdf1371e1f1,GSE250023,vaccine,whole blood,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE250023,BNT162b2
yes,https://media.springernature.com/original/springer-static/esm/art%3A10.1038%2Fs41586-024-07575-x/MediaObjects/41586_2024_7575_MOESM4_ESM.xlsx,[],"Lindeboom, R.G.H., Worlock, K.B., Dratva, L.M. et al. Human SARS-CoV-2 challenge uncovers local and systemic response dynamics. Nature 631, 189–198 (2024). https://doi.org/10.1038/s41586-024-07575-x",HR:challenge_covid19,Pathogen is not influenza in HR metadata.,outside_influenza_challenge_scope,List in the h5ad obs,https://www.covid19cellatlas.org/index.patient.html,606074,144,NA,16,NA,NA,Within-study author count; not independent subjects across studies.,SARS-CoV-2,scRNA-seq,Illumina NovaSeq 6000 (Homo sapiens),no,Legacy author flag; not proof of current file-level raw availability.,c68349578b97af04d1102eac5ad9f30f85362c53,"Lindeboom, R.G.H., Worlock, K.B., Dratva, L.M. et al. Human SARS-CoV-2 challenge uncovers local and systemic response dynamics. Nature 631, 189–198 (2024). https://doi.org/10.1038/s41586-024-07575-x",data_dictionary/sources/hr_vilage/study_meta.csv,48977830c893ed1babf334c16a24b52e9f701cc239b1b3b3be747fdf1371e1f1,challenge_covid19,inoculation,PBMC,https://www.covid19cellatlas.org/index.patient.html,
yes,https://pmc.ncbi.nlm.nih.gov/articles/instance/10792461/bin/mmc13.xlsx,"[""GSE246937""]","Odak, I., Riemann, L., Sandrock, I., et al. GEO. https://identifiers.org/geo/GSE246937 (2024)",HR:GSE246937,Pathogen is not influenza in HR metadata.,outside_influenza_challenge_scope,List in the h5ad obs,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE246937,49829,25,NA,10,NA,NA,Within-study author count; not independent subjects across studies.,SARS-CoV-2,scRNA-seq,GPL21697; NextSeq 550 (Homo sapiens),no,Legacy author flag; not proof of current file-level raw availability.,c68349578b97af04d1102eac5ad9f30f85362c53,"Odak, I., Riemann, L., Sandrock, I., Cossmann, A., Ramos, G. M., Hammerschmidt, S. I., ... & Förster, R. (2024). Systems biology analysis reveals distinct molecular signatures associated with immune responsiveness to the BNT162b COVID-19 vaccine. EBioMedicine, 99.",data_dictionary/sources/hr_vilage/study_meta.csv,48977830c893ed1babf334c16a24b52e9f701cc239b1b3b3be747fdf1371e1f1,GSE246937,vaccine,whole blood,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE246937,BNT162b
no,https://pmc.ncbi.nlm.nih.gov/articles/PMC11222146/ (Supplementary Information),"[""E-MTAB-12993""]","Rosenheim, J., Noursadeghi, M. ArrayExpress. https://identifiers.org/arrayexpress:E-MTAB-12993 (2024)",HR:E_MTAB_12993_nose,Pathogen is not influenza in HR metadata.,outside_influenza_challenge_scope,geo_accession;ID;study_ID;tissue;platform;pathogen;title;timepoint;infection_group;symptom_group;study_group;sex;age,https://pmc.ncbi.nlm.nih.gov/articles/PMC11222146/ (Supplementary Information),NA,96,28848,19,"5 (1, 7)","-1.0, 1.0, 3.0, 5.0, 7.0, 10.0, 14.0",Within-study author count; not independent subjects across studies.,SARS-CoV-2,RNA-seq,GPL24676; Illumina NovaSeq 6000 (Homo sapiens),no,Legacy author flag; not proof of current file-level raw availability.,c68349578b97af04d1102eac5ad9f30f85362c53,"Lindeboom RGH, Worlock KB, Dratva LM, Yoshida M, et al. Human SARS-CoV-2 challenge uncovers local and systemic response dynamics. Nature. 2024 Jul 4;631(8019):189-198. PMID: 38898278.",data_dictionary/sources/hr_vilage/study_meta.csv,48977830c893ed1babf334c16a24b52e9f701cc239b1b3b3be747fdf1371e1f1,E_MTAB_12993_nose,inoculation,nasal swab,https://www.ebi.ac.uk/biostudies/arrayexpress/studies/E-MTAB-12993,
no,https://pmc.ncbi.nlm.nih.gov/articles/PMC11222146/ (Supplementary Information),"[""E-MTAB-12993""]","Rosenheim, J., Noursadeghi, M. ArrayExpress. https://identifiers.org/arrayexpress:E-MTAB-12993 (2024)",HR:E_MTAB_12993_blood,Pathogen is not influenza in HR metadata.,outside_influenza_challenge_scope,geo_accession;ID;study_ID;tissue;platform;pathogen;title;timepoint;infection_group;symptom_group;study_group;sex;age,https://pmc.ncbi.nlm.nih.gov/articles/PMC11222146/ (Supplementary Information),NA,374,28848,35,"11 (7, 11)","0.0, 0.25, 1.0, 2.0, 3.0, 4.0, 5.0, 7.0, 10.0, 13.0, 14.0, 28.0",Within-study author count; not independent subjects across studies.,SARS-CoV-2,RNA-seq,GPL24676; Illumina NovaSeq 6000 (Homo sapiens),no,Legacy author flag; not proof of current file-level raw availability.,c68349578b97af04d1102eac5ad9f30f85362c53,"Lindeboom RGH, Worlock KB, Dratva LM, Yoshida M, et al. Human SARS-CoV-2 challenge uncovers local and systemic response dynamics. Nature. 2024 Jul 4;631(8019):189-198. PMID: 38898278.",data_dictionary/sources/hr_vilage/study_meta.csv,48977830c893ed1babf334c16a24b52e9f701cc239b1b3b3be747fdf1371e1f1,E_MTAB_12993_blood,inoculation,whole blood,https://www.ebi.ac.uk/biostudies/arrayexpress/studies/E-MTAB-12993,
no,Not applicable,"[""GSE11348""]","Proud, D., Turner, R.B., Winther, B., et al. GEO. https://identifiers.org/geo/GSE11348 (2008)",HR:GSE11348,Pathogen is not influenza in HR metadata.,outside_influenza_challenge_scope,geo_accession;ID;study_ID;tissue;platform;pathogen;title;timepoint;infection_group;symptom_group;study_group;sex;age;sham,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE11348,NA,93,18751,31,"3 (3, 3)","0.0, 0.333333333, 2.0",Within-study author count; not independent subjects across studies.,HRV,microarray,GPL570; [HG-U133_Plus_2] Affymetrix Human Genome U133 Plus 2.0 Array,yes,Legacy author flag; not proof of current file-level raw availability.,c68349578b97af04d1102eac5ad9f30f85362c53,"Proud D, Turner RB, Winther B, Wiehler S, et al. Gene expression profiles during in vivo human rhinovirus infection: insights into the host response. Am J Respir Crit Care Med. 2008 Nov 1;178(9):962-8. PMID: 18658112.",data_dictionary/sources/hr_vilage/study_meta.csv,48977830c893ed1babf334c16a24b52e9f701cc239b1b3b3be747fdf1371e1f1,GSE11348,inoculation,nasal swab,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE11348,
no,Not applicable,"[""GSE61754""]","Davenport, E.E., Antrobus, R.D., Lillie, P.J., et al. GEO. https://identifiers.org/geo/GSE61754 (2014)",HR:GSE61754,Restrict to the named influenza subset; original repository may contain other viruses.,source_verified_influenza_challenge_subset,geo_accession;ID;study_ID;tissue;platform;pathogen;title;timepoint;infection_group;symptom_group;symptom_group_original;study_group;seroconversion;viral_shedding,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE61754,NA,88,20120,22,"4 (4, 4)","0.0, 0.5, 1.0, 2.0",Within-study author count; not independent subjects across studies.,H3N2,microarray,GPL10558; llumina HumanHT-12 V4.0 expression beadchip,yes,Legacy author flag; not proof of current file-level raw availability.,c68349578b97af04d1102eac5ad9f30f85362c53,"Davenport EE, Antrobus RD, Lillie PJ, Gilbert S, et al. Transcriptomic profiling facilitates classification of response to influenza challenge. J Mol Med (Berl). 2015 Jan;93(1):105-14. PMID: 25345603.",data_dictionary/sources/hr_vilage/study_meta.csv,48977830c893ed1babf334c16a24b52e9f701cc239b1b3b3be747fdf1371e1f1,GSE61754,inoculation,whole blood,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE61754,
no,Not applicable,"[""GSE90732""]","Muller, J., Parizotto, E., Antrobus, R., et al. GEO. https://identifiers.org/geo/GSE90732 (2017)",HR:GSE90732,Restrict to the named influenza subset; original repository may contain other viruses.,source_verified_influenza_challenge_subset,geo_accession;ID;study_ID;tissue;platform;pathogen;title;timepoint;infection_group;symptom_group;Total_DSS;study_group;sex;age,https://pmc.ncbi.nlm.nih.gov/articles/PMC5465537/ (Table S1),NA,108,20523,21,"5 (5, 6)","0.0, 1.0, 2.0, 3.0, 4.0",Within-study author count; not independent subjects across studies.,H1N1,microarray,GPL10558; llumina HumanHT-12 V4.0 expression beadchip,yes,Legacy author flag; not proof of current file-level raw availability.,c68349578b97af04d1102eac5ad9f30f85362c53,"Muller J, Parizotto E, Antrobus R, Francis J, et al. Development of an objective gene expression panel as an alternative to self-reported symptom scores in human influenza challenge trials. J Transl Med. 2017 Jun 8;15(1):134. PMID: 28595644.",data_dictionary/sources/hr_vilage/study_meta.csv,48977830c893ed1babf334c16a24b52e9f701cc239b1b3b3be747fdf1371e1f1,GSE90732,inoculation,whole blood,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE90732,
no,Not applicable,"[""GSE155237""]","Christopher, C. GEO. https://identifiers.org/geo/GSE155237 (2020)",HR:GSE155237,Pathogen is not influenza in HR metadata.,outside_influenza_challenge_scope,geo_accession;ID;study_ID;tissue;platform;pathogen;batch;title;timepoint;infection_group;symptom_group,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE155237,NA,78,40128,40,"2 (1, 2)","0.0, 3.0",Within-study author count; not independent subjects across studies.,RSV,RNA-seq,GPL16791; Illumina HiSeq 2500 (Homo sapiens),yes,Legacy author flag; not proof of current file-level raw availability.,c68349578b97af04d1102eac5ad9f30f85362c53,"Habibi MS, Thwaites RS, Chang M, Jozwik A, et al. Neutrophilic inflammation in the respiratory mucosa predisposes to RSV infection. Science. 2020 Oct 9;370(6513):eaba9301. PMID: 33033192.",data_dictionary/sources/hr_vilage/study_meta.csv,48977830c893ed1babf334c16a24b52e9f701cc239b1b3b3be747fdf1371e1f1,GSE155237,inoculation,nasal swab,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE155237,
no,Not applicable,"[""GSE73072""]","Ginsburg, G.S., Hero, A.O. GEO. https://identifiers.org/geo/GSE73072 (2016)",HR:GSE73072_H1N1_DEE4,Restrict to the named influenza subset; original repository may contain other viruses.,source_verified_influenza_challenge_subset,geo_accession;ID;study_ID;tissue;platform;pathogen;title;timepoint;infection_group;symptom_group,https://docs.google.com/spreadsheets/d/0B2vLBS4X1c1ENzZpT216eGY1RjQ/edit?usp=sharing,NA,386,12313,19,"21 (15, 21)","-0.875, 0.0, 0.208333333, 0.5, 0.916666667, 1.208333333, 1.5, 1.916666667, 2.208333333, 2.5, 2.916666667, 3.208333333, 3.5, 3.916666667, 4.208333333, 4.5, 4.916666667, 5.208333333, 5.5, 5.916666667, 6.916666667",Within-study author count; not independent subjects across studies.,H1N1,microarray,"GPL14604; Affymetrix GeneChip Human Genome U133A 2.0 Array [CDF: Brainarray Version 10, Hs133Av2_Hs_ENTREZG]",yes,Legacy author flag; not proof of current file-level raw availability.,c68349578b97af04d1102eac5ad9f30f85362c53,"Liu TY, Burke T, Park LP, Woods CW, et al. An individualized predictor of health and disease using paired reference and target samples. BMC Bioinformatics. 2016 Jan 22;17:47. PMID: 26801061.",data_dictionary/sources/hr_vilage/study_meta.csv,48977830c893ed1babf334c16a24b52e9f701cc239b1b3b3be747fdf1371e1f1,GSE73072_H1N1_DEE4,inoculation,whole blood,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE73072,
no,Not applicable,"[""GSE73072""]","Ginsburg, G.S., Hero, A.O. GEO. https://identifiers.org/geo/GSE73072 (2016)",HR:GSE73072_H1N1_DEE3,Restrict to the named influenza subset; original repository may contain other viruses.,source_verified_influenza_challenge_subset,geo_accession;ID;study_ID;tissue;platform;pathogen;title;timepoint;infection_group;symptom_group,https://docs.google.com/spreadsheets/d/0B2vLBS4X1c1ENzZpT216eGY1RjQ/edit?usp=sharing,NA,477,12313,24,"20 (19, 20)","-0.875, 0.0, 0.208333333, 0.5, 0.875, 1.208333333, 1.5, 1.875, 2.208333333, 2.5, 2.875, 3.208333333, 3.5, 3.875, 4.208333333, 4.5, 4.916666667, 5.208333333, 5.916666667, 6.916666667",Within-study author count; not independent subjects across studies.,H1N1,microarray,"GPL14604; Affymetrix GeneChip Human Genome U133A 2.0 Array [CDF: Brainarray Version 10, Hs133Av2_Hs_ENTREZG]",yes,Legacy author flag; not proof of current file-level raw availability.,c68349578b97af04d1102eac5ad9f30f85362c53,"Liu TY, Burke T, Park LP, Woods CW, et al. An individualized predictor of health and disease using paired reference and target samples. BMC Bioinformatics. 2016 Jan 22;17:47. PMID: 26801061.",data_dictionary/sources/hr_vilage/study_meta.csv,48977830c893ed1babf334c16a24b52e9f701cc239b1b3b3be747fdf1371e1f1,GSE73072_H1N1_DEE3,inoculation,whole blood,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE73072,
no,Not applicable,"[""GSE73072""]","Ginsburg, G.S., Hero, A.O. GEO. https://identifiers.org/geo/GSE73072 (2016)",HR:GSE73072_H3N2_DEE2,Restrict to the named influenza subset; original repository may contain other viruses.,source_verified_influenza_challenge_subset,geo_accession;ID;study_ID;tissue;platform;pathogen;title;timepoint;infection_group;symptom_group,https://docs.google.com/spreadsheets/d/0B2vLBS4X1c1ENzZpT216eGY1RjQ/edit?usp=sharing,NA,355,12313,17,"21 (20, 21)","-0.958333333, 0.0, 0.208333333, 0.5, 0.916666667, 1.208333333, 1.5, 1.916666667, 2.208333333, 2.5, 2.916666667, 3.208333333, 3.5, 3.916666667, 4.208333333, 4.5, 4.916666667, 5.208333333, 5.5, 5.916666667, 6.916666667",Within-study author count; not independent subjects across studies.,H3N2,microarray,"GPL14604; Affymetrix GeneChip Human Genome U133A 2.0 Array [CDF: Brainarray Version 10, Hs133Av2_Hs_ENTREZG]",yes,Legacy author flag; not proof of current file-level raw availability.,c68349578b97af04d1102eac5ad9f30f85362c53,"Liu TY, Burke T, Park LP, Woods CW, et al. An individualized predictor of health and disease using paired reference and target samples. BMC Bioinformatics. 2016 Jan 22;17:47. PMID: 26801061.",data_dictionary/sources/hr_vilage/study_meta.csv,48977830c893ed1babf334c16a24b52e9f701cc239b1b3b3be747fdf1371e1f1,GSE73072_H3N2_DEE2,inoculation,whole blood,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE73072,
no,Not applicable,"[""GSE73072""]","Ginsburg, G.S., Hero, A.O. GEO. https://identifiers.org/geo/GSE73072 (2016)",HR:GSE73072_H3N2_DEE5,Restrict to the named influenza subset; original repository may contain other viruses.,source_verified_influenza_challenge_subset,geo_accession;ID;study_ID;tissue;platform;pathogen;title;timepoint;infection_group;symptom_group,https://docs.google.com/spreadsheets/d/0B2vLBS4X1c1ENzZpT216eGY1RjQ/edit?usp=sharing,NA,482,12313,21,"23 (22, 23)","-1.25, 0.083333333, 0.416666667, 0.75, 1.083333333, 1.416666667, 1.75, 2.083333333, 2.416666667, 2.75, 3.083333333, 3.416666667, 3.75, 4.083333333, 4.416666667, 4.75, 5.083333333, 5.416666667, 5.75, 6.083333333, 6.75, 7.083333333, 28.33333333",Within-study author count; not independent subjects across studies.,H3N2,microarray,"GPL14604; Affymetrix GeneChip Human Genome U133A 2.0 Array [CDF: Brainarray Version 10, Hs133Av2_Hs_ENTREZG]",yes,Legacy author flag; not proof of current file-level raw availability.,c68349578b97af04d1102eac5ad9f30f85362c53,"Liu TY, Burke T, Park LP, Woods CW, et al. An individualized predictor of health and disease using paired reference and target samples. BMC Bioinformatics. 2016 Jan 22;17:47. PMID: 26801061.",data_dictionary/sources/hr_vilage/study_meta.csv,48977830c893ed1babf334c16a24b52e9f701cc239b1b3b3be747fdf1371e1f1,GSE73072_H3N2_DEE5,inoculation,whole blood,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE73072,
no,Not applicable,"[""GSE73072""]","Ginsburg, G.S., Hero, A.O. GEO. https://identifiers.org/geo/GSE73072 (2016)",HR:GSE73072_HRV_DUKE,Pathogen is not influenza in HR metadata.,outside_influenza_challenge_scope,geo_accession;ID;study_ID;tissue;platform;pathogen;title;timepoint;infection_group;symptom_group;sham,https://docs.google.com/spreadsheets/d/0B2vLBS4X1c1ENzZpT216eGY1RjQ/edit?usp=sharing,NA,471,12313,27,"19 (12, 19)","-0.458333333, 0.0, 0.166666667, 0.333333333, 0.5, 0.666666667, 0.833333333, 1.0, 1.25, 1.5, 1.75, 2.0, 2.5, 3.0, 3.5, 4.0, 4.5, 5.0, 5.666666667",Within-study author count; not independent subjects across studies.,HRV,microarray,"GPL14604; Affymetrix GeneChip Human Genome U133A 2.0 Array [CDF: Brainarray Version 10, Hs133Av2_Hs_ENTREZG]",yes,Legacy author flag; not proof of current file-level raw availability.,c68349578b97af04d1102eac5ad9f30f85362c53,"Liu TY, Burke T, Park LP, Woods CW, et al. An individualized predictor of health and disease using paired reference and target samples. BMC Bioinformatics. 2016 Jan 22;17:47. PMID: 26801061.",data_dictionary/sources/hr_vilage/study_meta.csv,48977830c893ed1babf334c16a24b52e9f701cc239b1b3b3be747fdf1371e1f1,GSE73072_HRV_DUKE,inoculation,whole blood,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE73072,
no,Not applicable,"[""GSE73072""]","Ginsburg, G.S., Hero, A.O. GEO. https://identifiers.org/geo/GSE73072 (2016)",HR:GSE73072_HRV_UVA,Pathogen is not influenza in HR metadata.,outside_influenza_challenge_scope,geo_accession;ID;study_ID;tissue;platform;pathogen;title;timepoint;infection_group;symptom_group,https://docs.google.com/spreadsheets/d/0B2vLBS4X1c1ENzZpT216eGY1RjQ/edit?usp=sharing,NA,295,12313,20,"15 (13, 15)","-0.458333333, 0.0, 0.166666667, 0.333333333, 0.5, 0.666666667, 0.833333333, 1.0, 1.25, 1.5, 1.75, 2.0, 3.0, 4.0, 5.0",Within-study author count; not independent subjects across studies.,HRV,microarray,"GPL14604; Affymetrix GeneChip Human Genome U133A 2.0 Array [CDF: Brainarray Version 10, Hs133Av2_Hs_ENTREZG]",yes,Legacy author flag; not proof of current file-level raw availability.,c68349578b97af04d1102eac5ad9f30f85362c53,"Liu TY, Burke T, Park LP, Woods CW, et al. An individualized predictor of health and disease using paired reference and target samples. BMC Bioinformatics. 2016 Jan 22;17:47. PMID: 26801061.",data_dictionary/sources/hr_vilage/study_meta.csv,48977830c893ed1babf334c16a24b52e9f701cc239b1b3b3be747fdf1371e1f1,GSE73072_HRV_UVA,inoculation,whole blood,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE73072,
no,Not applicable,"[""GSE73072""]","Ginsburg, G.S., Hero, A.O. GEO. https://identifiers.org/geo/GSE73072 (2016)",HR:GSE73072_RSV_DEE1,Pathogen is not influenza in HR metadata.,outside_influenza_challenge_scope,geo_accession;ID;study_ID;tissue;platform;pathogen;title;timepoint;infection_group;symptom_group,https://docs.google.com/spreadsheets/d/0B2vLBS4X1c1ENzZpT216eGY1RjQ/edit?usp=sharing,NA,420,12313,20,"21 (21, 21)","-1.583333333, 0.0, 0.208333333, 0.5, 0.916666667, 1.208333333, 1.5, 1.916666667, 2.208333333, 2.5, 2.916666667, 3.208333333, 3.5, 3.916666667, 4.208333333, 4.5, 4.916666667, 5.208333333, 5.5, 5.916666667, 6.916666667",Within-study author count; not independent subjects across studies.,RSV,microarray,"GPL14604; Affymetrix GeneChip Human Genome U133A 2.0 Array [CDF: Brainarray Version 10, Hs133Av2_Hs_ENTREZG]",yes,Legacy author flag; not proof of current file-level raw availability.,c68349578b97af04d1102eac5ad9f30f85362c53,"Liu TY, Burke T, Park LP, Woods CW, et al. An individualized predictor of health and disease using paired reference and target samples. BMC Bioinformatics. 2016 Jan 22;17:47. PMID: 26801061.",data_dictionary/sources/hr_vilage/study_meta.csv,48977830c893ed1babf334c16a24b52e9f701cc239b1b3b3be747fdf1371e1f1,GSE73072_RSV_DEE1,inoculation,whole blood,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE73072,
no,Not applicable,"[""GSE117580""]","Jochems, S., Marcon, F. GEO. https://identifiers.org/geo/GSE117580 (2018)",HR:GSE117580,Pneumococcal challenge after LAIV or inactivated influenza vaccination; not wild-type influenza challenge.,adjacent_excluded,geo_accession;ID;study_ID;tissue;platform;pathogen;title;timepoint;vaccine,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE117580,NA,96,24655,35,"3 (2, 3)","-4.0, 2.0, 9.0",Within-study author count; not independent subjects across studies.,influenza,RNA-seq,GPL20301; Illumina HiSeq 4000 (Homo sapiens),yes,Legacy author flag; not proof of current file-level raw availability.,c68349578b97af04d1102eac5ad9f30f85362c53,"Jochems SP, Marcon F, Carniel BF, Holloway M, et al. Inflammation induced by influenza virus impairs human innate immune control of pneumococcus. Nat Immunol. 2018 Dec;19(12):1299-1308. PMID: 30374129.",data_dictionary/sources/hr_vilage/study_meta.csv,48977830c893ed1babf334c16a24b52e9f701cc239b1b3b3be747fdf1371e1f1,GSE117580,mixed exposure,nasal swab,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE117580,Influenza LAIV/TIV
no,Not applicable,"[""GSE220682""]","Yamamoto, H., Watanabe, Y., Danno, H., et al. GEO. https://identifiers.org/geo/GSE220682 (2023)",HR:GSE220682,Pathogen is not influenza in HR metadata.,outside_influenza_challenge_scope,geo_accession;study_ID;tissue;platform;pathogen;batch;title;timepoint;vaccine,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE220682,NA,705,21701,203,"4 (1, 4)","0.0, 22.0, 180.0, 360.0",Within-study author count; not independent subjects across studies.,SARS-CoV-2,RNA-seq,GPL18573; Illumina NextSeq 500 (Homo sapiens),yes,Legacy author flag; not proof of current file-level raw availability.,c68349578b97af04d1102eac5ad9f30f85362c53,"Watanabe Y, Yamamoto H, Matsuba I, Watanabe K, et al. Time-series transcriptome analysis of peripheral blood mononuclear cells obtained from individuals who received the SARS-CoV-2 mRNA vaccine. J Med Virol. 2023 Jun;95(6):e28884. PMID: 37342886.",data_dictionary/sources/hr_vilage/study_meta.csv,48977830c893ed1babf334c16a24b52e9f701cc239b1b3b3be747fdf1371e1f1,GSE220682,vaccine,PBMC,https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE220682,BNT162b2
