search_id,lane,query,database,searched_at,result_source_ids,screening_notes,snapshot_path,total_hits,returned_pmids,retrieval_limit
RSEARCH_entity_CXCL10,entity_CXCL10,"(""CXCL10"" AND (cytokine OR chemokine) AND (human OR humans) AND (receptor OR perturbation)) AND (""1900/01/01""[Date - Publication] : ""2026/09/12""[Date - Publication])",PubMed E-utilities,2026-09-12T19:00:02.634066+00:00,,Bounded discovery index. Returned hits are not screened or automatically included as evidence. Full systematic enumeration remains outstanding.,research/references/pubmed_entity_CXCL10.json,2949,"[""29893515"",""31185212"",""39264798"",""33875597"",""25756272"",""39351443"",""28240764"",""32330476"",""36401984"",""25945444""]",10
RSEARCH_entity_CXCL8,entity_CXCL8,"(""CXCL8"" AND (cytokine OR chemokine) AND (human OR humans) AND (receptor OR perturbation)) AND (""1900/01/01""[Date - Publication] : ""2026/09/12""[Date - Publication])",PubMed E-utilities,2026-09-12T19:00:04.739224+00:00,,Bounded discovery index. Returned hits are not screened or automatically included as evidence. Full systematic enumeration remains outstanding.,research/references/pubmed_entity_CXCL8.json,2476,"[""36725964"",""35247648"",""37026250"",""37876509"",""32182134"",""27673278"",""41413822"",""31029506"",""38309677"",""32723296""]",10
RSEARCH_entity_IFNG,entity_IFNG,"(""IFNG"" AND (cytokine OR chemokine) AND (human OR humans) AND (receptor OR perturbation)) AND (""1900/01/01""[Date - Publication] : ""2026/09/12""[Date - Publication])",PubMed E-utilities,2026-09-12T19:00:07.237088+00:00,,Bounded discovery index. Returned hits are not screened or automatically included as evidence. Full systematic enumeration remains outstanding.,research/references/pubmed_entity_IFNG.json,1000,"[""32033786"",""39531313"",""32035984"",""39115359"",""39483478"",""40828615"",""40553564"",""39193910"",""39978685"",""31185212""]",10
RSEARCH_entity_IL10,entity_IL10,"(""IL10"" AND (cytokine OR chemokine) AND (human OR humans) AND (receptor OR perturbation)) AND (""1900/01/01""[Date - Publication] : ""2026/09/12""[Date - Publication])",PubMed E-utilities,2026-09-12T19:00:09.121339+00:00,,Bounded discovery index. Returned hits are not screened or automatically included as evidence. Full systematic enumeration remains outstanding.,research/references/pubmed_entity_IL10.json,12146,"[""28122130"",""41082839"",""41115260"",""37876509"",""29785672"",""40051629"",""31233292"",""34382069"",""32723296"",""30679579""]",10
RSEARCH_entity_IL12A,entity_IL12A,"(""IL12A"" AND (cytokine OR chemokine) AND (human OR humans) AND (receptor OR perturbation)) AND (""1900/01/01""[Date - Publication] : ""2026/09/12""[Date - Publication])",PubMed E-utilities,2026-09-12T19:00:11.792736+00:00,,Bounded discovery index. Returned hits are not screened or automatically included as evidence. Full systematic enumeration remains outstanding.,research/references/pubmed_entity_IL12A.json,145,"[""40848064"",""28476436"",""37352976"",""29155207"",""27783115"",""20802348"",""39951122"",""33004937"",""25589626"",""31552680""]",10
RSEARCH_entity_IL12B,entity_IL12B,"(""IL12B"" AND (cytokine OR chemokine) AND (human OR humans) AND (receptor OR perturbation)) AND (""1900/01/01""[Date - Publication] : ""2026/09/12""[Date - Publication])",PubMed E-utilities,2026-09-12T19:00:13.333086+00:00,,Bounded discovery index. Returned hits are not screened or automatically included as evidence. Full systematic enumeration remains outstanding.,research/references/pubmed_entity_IL12B.json,250,"[""32269339"",""38923259"",""28756073"",""30774023"",""40217124"",""42024828"",""33546902"",""32355229"",""40569533"",""40817122""]",10
RSEARCH_entity_IL13,entity_IL13,"(""IL13"" AND (cytokine OR chemokine) AND (human OR humans) AND (receptor OR perturbation)) AND (""1900/01/01""[Date - Publication] : ""2026/09/12""[Date - Publication])",PubMed E-utilities,2026-09-12T19:00:15.133977+00:00,,Bounded discovery index. Returned hits are not screened or automatically included as evidence. Full systematic enumeration remains outstanding.,research/references/pubmed_entity_IL13.json,3539,"[""10767254"",""18161745"",""28122130"",""25814340"",""29930549"",""31334913"",""39009587"",""25659898"",""36107181"",""38493956""]",10
RSEARCH_entity_IL15,entity_IL15,"(""IL15"" AND (cytokine OR chemokine) AND (human OR humans) AND (receptor OR perturbation)) AND (""1900/01/01""[Date - Publication] : ""2026/09/12""[Date - Publication])",PubMed E-utilities,2026-09-12T19:00:17.433546+00:00,,Bounded discovery index. Returned hits are not screened or automatically included as evidence. Full systematic enumeration remains outstanding.,research/references/pubmed_entity_IL15.json,2504,"[""30995502"",""30150991"",""34997230"",""40425444"",""27655849"",""22983442"",""39351443"",""39374860"",""37683329"",""36107181""]",10
RSEARCH_entity_IL16,entity_IL16,"(""IL16"" AND (cytokine OR chemokine) AND (human OR humans) AND (receptor OR perturbation)) AND (""1900/01/01""[Date - Publication] : ""2026/09/12""[Date - Publication])",PubMed E-utilities,2026-09-12T19:00:19.685496+00:00,,Bounded discovery index. Returned hits are not screened or automatically included as evidence. Full systematic enumeration remains outstanding.,research/references/pubmed_entity_IL16.json,219,"[""10857846"",""9451819"",""33067605"",""41956389"",""37525405"",""39766097"",""40869264"",""36781081"",""37918053"",""33398248""]",10
RSEARCH_entity_IL17A,entity_IL17A,"(""IL17A"" AND (cytokine OR chemokine) AND (human OR humans) AND (receptor OR perturbation)) AND (""1900/01/01""[Date - Publication] : ""2026/09/12""[Date - Publication])",PubMed E-utilities,2026-09-12T19:00:22.109091+00:00,,Bounded discovery index. Returned hits are not screened or automatically included as evidence. Full systematic enumeration remains outstanding.,research/references/pubmed_entity_IL17A.json,2624,"[""19575028"",""40802508"",""33932468"",""31866067"",""34822777"",""37026250"",""36270252"",""30109481"",""31334913"",""32968020""]",10
RSEARCH_entity_IL1A,entity_IL1A,"(""IL1A"" AND (cytokine OR chemokine) AND (human OR humans) AND (receptor OR perturbation)) AND (""1900/01/01""[Date - Publication] : ""2026/09/12""[Date - Publication])",PubMed E-utilities,2026-09-12T19:00:24.440135+00:00,,Bounded discovery index. Returned hits are not screened or automatically included as evidence. Full systematic enumeration remains outstanding.,research/references/pubmed_entity_IL1A.json,457,"[""29247995"",""37271319"",""39572160"",""37733448"",""33200890"",""35515000"",""33480001"",""32019420"",""31836429"",""40938538""]",10
RSEARCH_entity_IL1B,entity_IL1B,"(""IL1B"" AND (cytokine OR chemokine) AND (human OR humans) AND (receptor OR perturbation)) AND (""1900/01/01""[Date - Publication] : ""2026/09/12""[Date - Publication])",PubMed E-utilities,2026-09-12T19:00:26.916694+00:00,,Bounded discovery index. Returned hits are not screened or automatically included as evidence. Full systematic enumeration remains outstanding.,research/references/pubmed_entity_IL1B.json,2267,"[""39085210"",""32978245"",""33809042"",""33076814"",""31496351"",""40895578"",""41121278"",""32799102"",""31540057"",""33310663""]",10
RSEARCH_entity_IL2,entity_IL2,"(""IL2"" AND (cytokine OR chemokine) AND (human OR humans) AND (receptor OR perturbation)) AND (""1900/01/01""[Date - Publication] : ""2026/09/12""[Date - Publication])",PubMed E-utilities,2026-09-12T19:00:29.791580+00:00,,Bounded discovery index. Returned hits are not screened or automatically included as evidence. Full systematic enumeration remains outstanding.,research/references/pubmed_entity_IL2.json,12608,"[""34997230"",""28122130"",""36697826"",""37026250"",""40698080"",""33712283"",""31334913"",""36107181"",""39056129"",""39523093""]",10
RSEARCH_entity_IL4,entity_IL4,"(""IL4"" AND (cytokine OR chemokine) AND (human OR humans) AND (receptor OR perturbation)) AND (""1900/01/01""[Date - Publication] : ""2026/09/12""[Date - Publication])",PubMed E-utilities,2026-09-12T19:00:31.550919+00:00,,Bounded discovery index. Returned hits are not screened or automatically included as evidence. Full systematic enumeration remains outstanding.,research/references/pubmed_entity_IL4.json,9077,"[""28122130"",""37026250"",""36270252"",""37876509"",""29785672"",""28553619"",""34183793"",""32723296"",""41263059"",""37561062""]",10
RSEARCH_entity_IL5,entity_IL5,"(""IL5"" AND (cytokine OR chemokine) AND (human OR humans) AND (receptor OR perturbation)) AND (""1900/01/01""[Date - Publication] : ""2026/09/12""[Date - Publication])",PubMed E-utilities,2026-09-12T19:00:33.324391+00:00,,Bounded discovery index. Returned hits are not screened or automatically included as evidence. Full systematic enumeration remains outstanding.,research/references/pubmed_entity_IL5.json,2779,"[""35245537"",""28122130"",""26709128"",""38614096"",""36107181"",""39788434"",""38399983"",""11964695"",""33128925"",""40113544""]",10
RSEARCH_entity_IL6,entity_IL6,"(""IL6"" AND (cytokine OR chemokine) AND (human OR humans) AND (receptor OR perturbation)) AND (""1900/01/01""[Date - Publication] : ""2026/09/12""[Date - Publication])",PubMed E-utilities,2026-09-12T19:00:34.839440+00:00,,Bounded discovery index. Returned hits are not screened or automatically included as evidence. Full systematic enumeration remains outstanding.,research/references/pubmed_entity_IL6.json,26614,"[""34997230"",""28122130"",""41082839"",""41115260"",""32968020"",""18991877"",""40467395"",""37876509"",""27792688"",""34991059""]",10
RSEARCH_entity_IL7,entity_IL7,"(""IL7"" AND (cytokine OR chemokine) AND (human OR humans) AND (receptor OR perturbation)) AND (""1900/01/01""[Date - Publication] : ""2026/09/12""[Date - Publication])",PubMed E-utilities,2026-09-12T19:00:36.649683+00:00,,Bounded discovery index. Returned hits are not screened or automatically included as evidence. Full systematic enumeration remains outstanding.,research/references/pubmed_entity_IL7.json,1875,"[""36201890"",""30995502"",""30150991"",""34997230"",""30712873"",""30939120"",""39352394"",""41360767"",""39776916"",""37026250""]",10
RSEARCH_entity_LTA,entity_LTA,"(""LTA"" AND (cytokine OR chemokine) AND (human OR humans) AND (receptor OR perturbation)) AND (""1900/01/01""[Date - Publication] : ""2026/09/12""[Date - Publication])",PubMed E-utilities,2026-09-12T19:00:38.339044+00:00,,Bounded discovery index. Returned hits are not screened or automatically included as evidence. Full systematic enumeration remains outstanding.,research/references/pubmed_entity_LTA.json,382,"[""41296826"",""40925957"",""40517600"",""40494852"",""30822611"",""29786250"",""40911079"",""40673809"",""38463252"",""35079937""]",10
RSEARCH_entity_TNF,entity_TNF,"(""TNF"" AND (cytokine OR chemokine) AND (human OR humans) AND (receptor OR perturbation)) AND (""1900/01/01""[Date - Publication] : ""2026/09/12""[Date - Publication])",PubMed E-utilities,2026-09-12T19:00:40.183268+00:00,,Bounded discovery index. Returned hits are not screened or automatically included as evidence. Full systematic enumeration remains outstanding.,research/references/pubmed_entity_TNF.json,38123,"[""34997230"",""28122130"",""31334913"",""32968020"",""40467395"",""32495527"",""30287405"",""14563349"",""30252138"",""25756268""]",10
RSEARCH_entity_VEGFA,entity_VEGFA,"(""VEGFA"" AND (cytokine OR chemokine) AND (human OR humans) AND (receptor OR perturbation)) AND (""1900/01/01""[Date - Publication] : ""2026/09/12""[Date - Publication])",PubMed E-utilities,2026-09-12T19:00:41.921700+00:00,,Bounded discovery index. Returned hits are not screened or automatically included as evidence. Full systematic enumeration remains outstanding.,research/references/pubmed_entity_VEGFA.json,1589,"[""24337385"",""37026250"",""20186114"",""38399983"",""40596479"",""29996499"",""25342084"",""32300208"",""40855097"",""38421042""]",10
